* 
	5	ANALOG	0	0	1	3	4	5	10	24	42	77,0	77,1	77,2	77,3	77,4	78,0	78,1	78,2	78,3	78,4	91,1	91,2	91,3	91,4	91,5	66
*record  OrderNo  Type  Key  Name  Stn  AOR  pScale EU_Hi AlarmGrp   Nom.HiLim:77,0  77,1  77,2  77,3  Rsnblty77,4  Nom.LoLim78,0  78,1  78,2  78,3  Rsnblty78,4  NomPairInactive91,1  91,2  91,3  91,4  91,5  ICAddress
	47	47	1	"03012001"	"LA CALI     LAKE ASBURY CALI DEMAND"	012	4  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	48	48	1	"03012002"	"LA CDY      LA CUR DAY DEMAND"	012	4  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	49	49	1	"03012003"	"LA CHR      LA CUR HOUR DEMAND"	012	4  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	50	50	1	"03012004"	"LA CMT      LA CUR MONTH DEMAND"	012	4  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	51	51	1	"03012005"	"LA MUL      LAKE ASBURY MULTIPLIER"	012	4  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	52	52	2	"04012024"	"LA P1       LAKE PULSE ACCUMULATOR 1"	012	4  	4.8	1	  	99996	0	0	  	0	-2  	0	0	-4  	0.0	0.0	0.0	1.0	1.0	NaN
	53	53	1	"03012006"	"LA PDY      LA PREV DAY DEMAND"	012	4  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	54	54	1	"03012007"	"LA PFAVG    LA POWER FACTOR AVG"	012	4  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	55	55	1	"03012008"	"LA PHR      LA PREVIOUS H0UR DEMAND"	012	4  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	56	56	1	"03012009"	"LA PMT      LA PREV MONTH DEMAND"	012	4  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	57	57	1	"03012010"	"LA SOEPT"	012	1 2 3 4 5 6 7 8  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	58	58	1	"03012011"	"LA STAGE    LA REGULATOR STAGE"	012	1 2 3 4 5 6 7 8  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	59	59	2	"04001001"	"DI TX1TMP   DI TX1 TANK OIL TEMP"	001	3  	1.0	1	105  	0	0	0	150  	0	-10  	0	0	-300  	0.0	0.0	0.0	1.0	1.0	NaN
	60	60	2	"04021001"	"WH 2KW      WH FDR 2 WATTS"	021	5  	20470.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	61	61	2	"04031001"	"RV RBV2     TX2 REG B VOLT"	031	6  	204.7	1	127.5  	0	0	0	150  	0	118.5  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
	62	62	2	"04015010"	"BW KWPHR1   BW PTX1 KW PREV HOUR"	015	3  	196512.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	63	63	2	"04052001"	"WB 6144W    WB W6144 WATTS"	052	3  	100000.0	1	17000  	0	0	0	20000  	0	-500  	0	0	-1000  	0.0	0.0	0.0	1.0	1.0	NaN
	64	64	2	"04064001"	"SN KWPHR1   SN TX1 KW PREV HR"	064	3  	196512.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	65	65	2	"04039001"	"BN KWPHR1   BN TX1 KW PREV HR (KWH)"	039	3  	147384.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	66	66	2	"04032001"	"FL KWPHR1   FL TX1 PREV HOUR"	032	3  	196512.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	67	67	2	"04021002"	"WH 2C       WH BKR 2C AMPS"	021	5  	600.0001	1	450  	0	0	0	550  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	68	68	2	"04011001"	"MI T2HST2   MI TX2 WINDING 2 TEMP"	011	3  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	69	69	2	"04011002"	"MI TX2ABT   MI TX2AMBIENT TEMP"	011	3  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	70	70	2	"04023001"	"LC W6205B   TU W6205 B PHASE AMPS"	023	3  	1.0	1	500  	0	0	0	600  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	71	71	1	"03036001"	"RD STAGE2   REGULATOR STAGE #2"	036	1 2 3 4 5 6 7 8  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	72	72	1	"03067001"	"SPR RBTAP2   SA REG B TAP CHGR POS"	067	6  	15.9922	1	15  	0	0	0	16.5  	0	-16  	0	0	-16.5  	0.0	0.0	0.0	1.0	1.0	NaN
	73	73	2	"04011003"	"MI 5A       MI BKR 5 A AMPS"	011	3  	600.0003	1	400  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	74	74	2	"04011004"	"MI 5B       MI BKR 5 B AMPS"	011	3  	600.0003	1	400  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	75	75	2	"04011005"	"MI 5C       MI BKR 5 C AMPS"	011	3  	600.0003	1	400  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	76	76	1	"03031001"	"RV CALI2    RV TX2 CALC DEMAND"	031	6  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	77	77	1	"03033001"	"MX 2TOT     BRK 2 AMP TOTAL"	033	1 2 3 4 5 6 7 8  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	78	78	1	"03033002"	"MX 3TOT     BRK 3 AMP TOTAL"	033	1 2 3 4 5 6 7 8  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	79	79	2	"04033001"	"MX AV1      MX TX1 A PH BUS VOLTS"	033	3  	204.7	1	140  	0	0	0	145  	0	112  	0	0	110  	0.0	0.0	0.0	1.0	1.0	NaN
	80	80	2	"04033002"	"MX BV1      MX TX1 B PH BUS VOLTS"	033	3  	204.7	1	140  	0	0	0	145  	0	112  	0	0	110  	0.0	0.0	0.0	1.0	1.0	NaN
	81	81	2	"04033003"	"MX CV1      MX TX1 C PH BUS VOLTS"	033	3  	204.7	1	140  	0	0	0	145  	0	112  	0	0	110  	0.0	0.0	0.0	1.0	1.0	NaN
	82	82	2	"04011006"	"MI 4KW      MI BKR 4 WATTS"	011	3  	20470.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	83	83	2	"04025001"	"PH RATAP    REG A TAP CHGR POS"	025	5  	15.9922	1	15  	0	0	0	16.5  	0	-16  	0	0	-16.5  	0.0	0.0	0.0	1.0	1.0	NaN
	84	84	2	"04011007"	"MI 3A       MI BKR 3A AMPS"	011	3  	600.0003	1	400  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	85	85	2	"04011008"	"MI 3B       MI BKR 3B AMPS"	011	3  	600.0003	1	400  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	86	86	2	"04011009"	"MI 4A       MI BKR 4 A AMPS"	011	3  	600.0003	1	400  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	87	87	2	"04011010"	"MI 4B       MI BKR 4 B AMPS"	011	3  	600.0003	1	400  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	88	88	2	"04011011"	"MI 4C       MI BKR 4 C AMPS"	011	3  	600.0003	1	400  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	89	89	1	"03016001"	"OP HRTBT4   COMMLINE #4 HEARTBEAT"	016	1 2 3 4 5 6 7 8  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	90	90	1	"03016002"	"OP RC       CHANNEL FOUR RETRY COUNT"	016	4  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	91	91	2	"04017002"	"AL RAV1     ALACHUA TX1 REG A VOLTS"	017	5  	204.7	1	127.5  	0	0	0	150  	0	118  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
