*         Type  Key          Name                                          Stn   AOR                HiLim[0](High)   HiLim[1](Rsnblty)  LoLim[0](Low)   LoLim[1](Rsnblty)  AlarmGroup   pScale(EU_Hi)  ICAddress
*         ----  ---          ----                                          ---   ---                --------------   -----------------  -------------   -----------------  ----------   -------------  ---------
5 ANALOG  (1)   (3)          (4)                                           (5)   (10)               (77,0)           (77,4)             (78,0)          (78,4)             (42)         (24)           (66)
          1     "03nan023"   "OP HRTBT4   COMMLINE #4 HEARTBEAT        "   nan   1 2 3 4 5 6 7 8    0                999999             0               -999999            1            1              NaN                 
          1     "03nan024"   "OP RC       CHANNEL FOUR RETRY COUNT     "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          2     "04nan067"   "AL RAV1     ALACHUA TX1 REG A VOLTS      "   nan   5                  999998           150                -999998         -10                1            204.7          NaN                 
          2     "04nan068"   "AL RBV1     ALACHUA TX1 REG B VOLTS      "   nan   5                  999998           150                -999998         -10                1            204.7          NaN                 
          2     "04nan069"   "AL RCV1     ALACHUA TX1 REG C VOLTS      "   nan   5                  999998           150                -999998         -10                1            204.7          NaN                 
          2     "04nan070"   "AL TX1A     AL TX1 A AMPS C/S TRIP       "   nan   5                  999998           557                -999998         -30                1            818.8          NaN                 
          2     "04nan071"   "AL TX1B     AL TX1 B AMPS C/S TRIP       "   nan   5                  999998           557                -999998         -30                1            818.8          NaN                 
          2     "04nan072"   "AL TX1C     AL TX1 C AMPS C/S TRIP       "   nan   5                  999998           557                -999998         -30                1            818.8          NaN                 
          2     "04nan073"   "AL TX1W     ALACHUA TX1 WATTS            "   nan   5                  999998           20000              -999998         -1000              1            32752          NaN                 
          2     "04nan074"   "RV RCV2     TX2 REG C VOLT               "   nan   6                  999998           150                -999998         -10                1            204.7          NaN                 
          1     "03nan025"   "AL PMT2     AL TX2 PREV MONTH TOTAL      "   nan   5                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan026"   "AL CMTT     AL TOT CUR MONTH DMD         "   nan   5                  0                999999             0               -999999            1            1              NaN                 
          2     "04nan075"   "AL LTC1     AL TX1 LD TAP CHGR POS       "   nan   4                  999998           16                 -999998         -16                1            15.9666        NaN                 
          2     "04nan076"   "AL 1A       AL BRK 1 A AMPS BKR TRIP     "   nan   5                  999998           504                -999998         -30                1            600.0001       NaN                 
          2     "04nan077"   "AL 1B       AL BRK 1 B AMPS BKR TRIP     "   nan   5                  999998           504                -999998         -30                1            600.0001       NaN                 
          2     "04nan078"   "AL 1C       AL BRK 1 C AMPS BKR TRIP     "   nan   5                  999998           504                -999998         -30                1            600.0001       NaN                 
          2     "04nan079"   "AL 2A       AL BRK 2 A AMPS BKR TRIP     "   nan   5                  999998           504                -999998         -30                1            600.0001       NaN                 
          2     "04nan080"   "AL 2B       AL BRK 2 B AMPS BKR TRIP     "   nan   5                  999998           504                -999998         -30                1            600.0001       NaN                 
          2     "04nan081"   "AL 2C       AL BRK 2 C AMPS BKR TRIP     "   nan   5                  999998           504                -999998         -30                1            600.0001       NaN                 
          2     "04nan082"   "AL 3A       AL BRK 3 A AMPS BKR TRIP     "   nan   5                  999998           504                -999998         -30                1            600.0001       NaN                 
          2     "04nan083"   "AL 3B       AL BRK 3 B AMPS BKR TRIP     "   nan   5                  999998           504                -999998         -30                1            600.0001       NaN                 
          2     "04nan084"   "AL 3C       AL BRK 3 C AMPS BKR TRIP     "   nan   5                  999998           504                -999998         -30                1            600.0001       NaN                 
          2     "04nan085"   "AL DCV      AL DC VOLTS                  "   nan   5                  999998           140                -999998         -10                1            149.9835       NaN                 
          2     "04nan086"   "AL RAV2     ALACHUA TX2 REG A VOLTS      "   nan   5                  999998           150                -999998         -10                1            204.7          NaN                 
          2     "04nan087"   "AL RBV2     ALACHUA TX2 REG B VOLTS      "   nan   5                  999998           150                -999998         -10                1            204.7          NaN                 
          2     "04nan088"   "AL RCV2     ALACHUA TX2 REG C VOLTS      "   nan   5                  999998           150                -999998         -10                1            204.7          NaN                 
          2     "04nan089"   "AL TX2A     AL TX2 A AMPS C/S TRIP       "   nan   5                  999998           834                -999998         -30                1            1228.2         NaN                 
          2     "04nan090"   "AL TX2B     AL TX2 B AMPS C/S TRIP       "   nan   5                  999998           834                -999998         -30                1            1228.2         NaN                 
          2     "04nan091"   "AL TX2C     AL TX2 C AMPS C/S TRIP       "   nan   5                  999998           834                -999998         -30                1            1228.2         NaN                 
          2     "04nan092"   "AL TX2W     ALACHUA TX2 WATTS            "   nan   5                  999998           33000              -999998         -1000              1            49128          NaN                 
          2     "04nan093"   "SG 2C       BKR 2 C AMPS BKR TRIP        "   nan   7                  999998           540                -999998         -30                1            599.9999       NaN                 
          2     "04nan094"   "LY PF1M     LY TX1 POWER FACTOR          "   nan   7                  0                999999             0               -999999            1            204.7          NaN                 
          1     "03nan027"   "CEC SEMPK    SECI CURRENT MONTH PEAK     "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          2     "04nan095"   "MI TX1W     MI TX1 WATTS                 "   nan   3                  999998           44800              -999998         -44800             1            65504          NaN                 
          2     "04nan096"   "KH T        KH TEMPERATURE               "   nan   1                  0                999999             0               -999999            1            150            NaN                 
          2     "04nan097"   "MX RCTAP1   MX TX1 REG C TAP POS         "   nan   3                  999998           16                 -999998         -16                1            15.9922        NaN                 
          2     "04nan098"   "HL TX2FRQ   TX2 FREQUENCY METER          "   nan   5                  0                999999             0               -999999            1            204.7          NaN                 
          2     "04nan099"   "TU P        TUSTENUGGEE ACCUMULATOR      "   nan   3                  999998           999999             1               -4                 1            14.4           NaN                 
          1     "03nan028"   "RS CHRT     RS ACCUM CUR HOUR TOT        "   nan   1 2 3 4 5 6 7 8    0                999999             0               -999999            1            1              NaN                 
          1     "03nan029"   "TU W        TU,W =LC W655W               "   nan   3                  0                999999             0               -999999            1            1              NaN                 
          2     "04nan100"   "MI RBV2     MI TX2 REG B VOLTS           "   nan   3                  999998           150                -999998         -10                1            204.7          NaN                 
          2     "04nan101"   "MI RCV2     MI TX2 REG C VOLTS           "   nan   3                  999998           150                -999998         -10                1            204.7          NaN                 
          2     "04nan102"   "MI TX2A     MI TX2 LS A AMPS             "   nan   3                  999998           1549               -999998         -30                1            1637.6         NaN                 
          1     "03nan030"   "MI WT       MIDDLEBURG WATT TOTAL        "   nan   3                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan031"   "PP W        WATTS                        "   nan   5                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan032"   "AL PHRT     AL PREV HR DEMAND TOTAL      "   nan   5                  0                999999             0               -999999            1            1              NaN                 
          2     "04nan103"   "MI MV1      MI TX1 VARS LAG              "   nan   3                  5000             14400              -999998         -999999            1            65504          NaN                 
          2     "04nan104"   "MI 2A       MI BKR 2A AMPS               "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
